Pin Numbering,Python Name,Arduin Name1,Arduino Name2,Arduino Name3,Description,Other Names
J1-01,,ETH A+,,,,
J1-02,,,,,,
J1-03,,ETH A-,,,,
J1-04,,,,,,
J1-05,,ETH B+,,,,
J1-06,,,,,,
J1-07,,ETH B-,,,,
J1-08,,,,,,
J1-09,,,,,,
J1-10,,DSI D1+,,,,
J1-11,,,,,,
J1-12,,DSI D1-,,,,
J1-13,,,,,,
J1-14,,DSI D0+,,,,
J1-15,,,,,,
J1-16,,DSI D0-,,,,
J1-17,,ETH L1,,,,
J1-18,,DSI CK+,,,,
J1-19,,ETH l2,,,,
J1-20,,DSI CK-,,,,
J1-21,,VIN,,,,
J1-22,,GND,,,,
J1-23,,USB1 VBUS,,,,
J1-24,,,,,,
J1-25,,USB1 D+,,,,
J1-26,,USB0 D+,,,,
J1-27,,USB1 D-,,,,
J1-28,,USB0 D-,,,,
J1-29,,USB1 ID,,,,
J1-30,,,,,,
J1-31,,GND,,,,
J1-32,,VIN,,,,
J1-33,,UART TX,,,,
J1-34,,UART0 TX,,,,
J1-35,,UART,,,,
J1-36,,,,,,
J1-37,,,,,,
J1-38,,,,,,
J1-39,,,,,,
J1-40,,,,,,
J1-41,,,,,,
J1-42,,,,,,
J1-43,,,,,,
J1-44,,,,,,
J1-45,,,,,,
J1-46,,,,,,
J1-47,,,,,,
J1-48,,,,,,
J1-49,,,,,,
J1-50,,,,,,
J1-51,,,,,,
J1-52,,,,,,
J1-53,,,,,,
J1-54,,,,,,
J1-55,,,,,,
J1-56,,,,,,
J1-57,,,,,,
J1-58,,,,,,
J1-59,,,,,,
J1-60,,,,,,
J1-61,,,,,,
J1-62,,,,,,
J1-63,,,,,,
J1-64,,,,,,
J1-65,,,,,,
J1-66,,,,,,
J1-67,,,,,,
J1-68,,,,,,
J1-69,,,,,,
J1-70,,,,,,
J1-71,,,,,,
J1-72,,,,,,
J1-73,,,,,,
J1-74,,,,,,
J1-75,,,,,,
J1-76,,,,,,
J1-77,,,,,,
J1-78,,,,,,
J1-79,,,,,,
J1-80,,,,,,
,,,,,,
,,,,,,
,,,,,,
J2-01,,,,,,
J2-02,,,,,,
J2-03,,,,,,
J2-04,,,,,,
J2-05,,,,,,
J2-06,,,,,,
J2-07,,,,,,
J2-08,,,,,,
J2-09,,,,,,
J2-10,,,,,,
J2-11,,,,,,
J2-12,,,,,,
J2-13,,,,,,
J2-14,,,,,,
J2-15,,,,,,
J2-16,,,,,,
J2-17,,,,,,
J2-18,,,,,,
J2-19,,,,,,
J2-20,,,,,,
J2-21,,,,,,
J2-22,,,,,,
J2-23,,,,,,
J2-24,,,,,,
J2-25,,,,,,
J2-26,,,,,,
J2-27,,,,,,
J2-28,,,,,,
J2-29,,,,,,
J2-30,,,,,,
J2-31,,,,,,
J2-32,,,,,,
J2-33,,,,,,
J2-34,,,,,,
J2-35,,,,,,
J2-36,,,,,,
J2-37,,,,,,
J2-38,,,,,,
J2-39,,,,,,
J2-40,,,,,,
J2-41,,,,,,
J2-42,,,,,,
J2-43,,,,,,
J2-44,,,,,,
J2-45,,,,,,
J2-46,,,,,,
J2-47,,,,,,
J2-48,,,,,,
J2-49,,,,,,
J2-50,,,,,,
J2-51,,,,,,
J2-52,,,,,,
J2-53,,,,,,
J2-54,,,,,,
J2-55,,,,,,
J2-56,,,,,,
J2-57,,,,,,
J2-58,,,,,,
J2-59,,,,,,
J2-60,,,,,,
J2-61,,,,,,
J2-62,,,,,,
J2-63,,,,,,
J2-64,,,,,,
J2-65,,,,,,
J2-66,,,,,,
J2-67,,,,,,
J2-68,,,,,,
J2-69,,,,,,
J2-70,,,,,,
J2-71,,,,,,
J2-72,,,,,,
J2-73,,,,,,
J2-74,,,,,,
J2-75,,,,,,
J2-76,,,,,,
J2-77,,,,,,
J2-78,,,,,,
J2-79,,,,,,
J2-80,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
